repo	lang	git	remote	tags
ai-framework-characters	PY	no-git	-	content/ai
android-ftp-sync	SH	git:1up	android-ftp-sync	script/mobile
ascii-font-engine	TS	git:synced	ascii-font-engine	lib/font
bookmark-recommender	TS	git:synced	bookmark-recommender	app/reco
cube-3d-cam	JS	git:synced	cube-3d-cam	web/game
cube-3d	JS	git:no-remote	-	web/game
egg-parametric	JS	no-git	-	web/3d
eki-ben	TS	git:synced	station-os	app/map
game-portal	(data)	no-git	-	plan
idol-lab	(data)	no-git	-	content/idol
idol-map	JS	no-git	-	content/idol
idol-oshare	JS/MD	git:synced	idol-oshare	content/idol
idol-portal	PY	no-git	-	content/idol
idol-quiz	(data)	no-git	-	content/idol
jade	(data)	no-git	-	data/db
lm-bench	PY	git:synced	lm-bench	tool/bench
logs	(data)	no-git	-	log
opencode-skills	MD/PY	git:synced	opencode-skills	skill/dotfiles
quiz-video	PY	no-git	-	content/video
rooom	(data)	no-git	-	data/db
sync-repos	SH	git:synced	sync-repos	devtool
uiapduino-mcp	PY	no-git	-	mcp/hw
usb-kit	(data)	no-git	-	sec/usb
wiki	MD	git:synced	wiki	docs/wiki
yonkoma	PY	git:synced	yonkoma	content/video
